연번,자치구,업소명,전화번호,소재지(도로명),구분,행정동
115,광진구,빅베어8(세종대),,"능동로 209, 2층",일반음식점,군자동
116,광진구,천미향,,능동로237(군자동),일반음식점,군자동
117,광진구,장안초등학교,,군자로 74 (군자동),집단급식소,군자동
118,광진구,세종초등학교,02-3408-3405,군자로 114(군자동),집단급식소,군자동
119,광진구,세종대학교 학생회관_산들푸드,,능동로209(군자동),집단급식소,군자동
120,광진구,대공원승무사업소 직원식당,,능동로 247-1,집단급식소,군자동
121,광진구,버거킹 군자능동점,,능동로245(군자동),휴게음식점,군자동
122,광진구,채선당(화양점),,"광나루로369, 2층(군자동, 광진두산위브파크)",일반음식점,군자동
123,광진구,세종대 진관홀 다사랑푸드㈜,,"능동로 209, 2층",집단급식소,군자동
124,광진구,서울교통공사 대공원 승무사업소 구내식당(도시철도),,"능동로 247-1, 지하1층(군자동)",집단급식소,군자동
125,광진구,호텔 더 디자이너스 건대점,,천호대로 521,관광숙박시설,중곡1동
126,광진구,계절밥상(세종대위탁업체),,"능동로 209, 군자관 6층 (군자동, 세종대학교)",일반음식점,군자동
127,광진구,장어시대,,"천호대로 528 1층 (대원빌딩, 군자동)",일반음식점,군자동
128,광진구,라라관 (라좡),,동일로18길 10 상가동,일반음식점,자양4동
129,광진구,장순루 (영태가미),,아차산로76길 11,일반음식점,광장동
130,광진구,보승회관 구의역점,,아차산로 353-1 1층,일반음식점,군자동
131,광진구,장터참숯무한리필 중곡점,,긴고랑로 52,일반음식점,군자동
132,광진구,일레븐라운지,,"광진구 동일로 172 (19층, 호텔 더 디자이너스 프리미어 건대)",일반음식점,자양3동
133,광진구,셰프뮤지엄,,"능동로 87, 건대입구역자이엘라 2층",일반음식점,군자동
134,광진구,금하 (건국대학교 동문회관 웨딩홀),,아차산로36길5(자양동),일반음식점,자양3동
135,광진구,아빠찜 구의역점,,"자양로18길 96, 베스트트레드빌 101호, 102호 (구의동)",일반음식점,구의1동
136,광진구,아차 (ACHA),,"광진구 자양로42길 3, 지하 1,2층 (구의동)",일반음식점,구의2동
137,광진구,구시아푸드마켓 (건대 학생회관),,"광진구 능동로 120 (화양동, 건국대학교 학생회관 지하1층)",집단급식소,화양동
138,광진구,쿠우쿠우 블루레인 건대직영점,,"광진구 아차산로 225, 단산화빌딩 5층 (화양동)",일반음식점,화양동
139,광진구,동대문엽기떡볶이 건대2호점,,광진구 동일로22길 11 (화양동),일반음식점,화양동
140,광진구,그린푸드(어린이회관 구내식당),,광진구 광나루로 441(능동),집단급식소,능동
