신청건수 기준일,전체 처리건수,방문신청건수,인터넷신청건수,관리기관 연락처,관리기관명,데이터기준일자
2018-11-30,9418,6248,3170,02-450-7625,서울특별시 광진구청,2024-02-13
2018-12-31,7830,5021,2809,02-450-7625,서울특별시 광진구청,2024-02-13
2019-01-31,9542,5923,3619,02-450-7625,서울특별시 광진구청,2024-02-13
2019-02-28,9643,5963,3680,02-450-7625,서울특별시 광진구청,2024-02-13
2019-03-31,10723,6665,4058,02-450-7625,서울특별시 광진구청,2024-02-13
2019-04-30,10502,6871,3631,02-450-7625,서울특별시 광진구청,2024-02-13
2019-05-31,11283,7378,3905,02-450-7625,서울특별시 광진구청,2024-02-13
2019-06-30,9894,6245,3649,02-450-7625,서울특별시 광진구청,2024-02-13
2019-07-31,10925,7009,3916,02-450-7625,서울특별시 광진구청,2024-02-13
2019-08-31,11580,7206,4374,02-450-7625,서울특별시 광진구청,2024-02-13
2019-09-30,10834,6996,3838,02-450-7625,서울특별시 광진구청,2024-02-13
2019-10-31,11863,7367,4496,02-450-7625,서울특별시 광진구청,2024-02-13
2019-11-30,10491,6471,4020,02-450-7625,서울특별시 광진구청,2024-02-13
2019-12-31,10071,6068,4003,02-450-7625,서울특별시 광진구청,2024-02-13
2020-01-31,10555,6158,4397,02-450-7625,서울특별시 광진구청,2024-02-13
2020-02-28,11977,6504,5473,02-450-7625,서울특별시 광진구청,2024-02-13
2020-03-31,13668,7780,5888,02-450-7625,서울특별시 광진구청,2024-02-13
2020-04-30,13484,7849,5635,02-450-7625,서울특별시 광진구청,2024-02-13
2020-05-31,13933,8203,5730,02-450-7625,서울특별시 광진구청,2024-02-13
2020-06-30,12357,7225,5132,02-450-7625,서울특별시 광진구청,2024-02-13
2020-07-31,13046,7307,5739,02-450-7625,서울특별시 광진구청,2024-02-13
2020-08-31,14884,7909,6975,02-450-7625,서울특별시 광진구청,2024-02-13
2020-09-30,16896,9230,7666,02-450-7625,서울특별시 광진구청,2024-02-13
2020-10-31,15402,8609,6793,02-450-7625,서울특별시 광진구청,2024-02-13
2020-11-30,13192,7249,5943,02-450-7625,서울특별시 광진구청,2024-02-13
2020-12-31,14334,7244,7090,02-450-7625,서울특별시 광진구청,2024-02-13
2021-01-31,13153,5950,7203,02-450-7625,서울특별시 광진구청,2024-02-13
2021-02-28,14593,6576,8017,02-450-7625,서울특별시 광진구청,2024-02-13
2021-03-31,18008,8996,9012,02-450-7625,서울특별시 광진구청,2024-02-13
2021-04-30,15552,8382,7170,02-450-7625,서울특별시 광진구청,2024-02-13
2021-05-31,14893,7512,7381,02-450-7625,서울특별시 광진구청,2024-02-13
2021-06-30,15340,7846,7494,02-450-7625,서울특별시 광진구청,2024-02-13
2021-07-31,15392,7640,7752,02-450-7625,서울특별시 광진구청,2024-02-13
2021-08-30,15554,7349,8205,02-450-7625,서울특별시 광진구청,2024-02-13
2021-09-30,15585,7807,7778,02-450-7625,서울특별시 광진구청,2024-02-13
2021-10-31,15681,7401,8280,02-450-7625,서울특별시 광진구청,2024-02-13
2021-11-30,14122,6952,7170,02-450-7625,서울특별시 광진구청,2024-02-13
2021-12-31,13268,6196,7072,02-450-7625,서울특별시 광진구청,2024-02-13
2022-01-31,12464,5272,7192,02-450-7625,서울특별시 광진구청,2024-02-13
2022-02-28,14175,5955,8220,02-450-7625,서울특별시 광진구청,2024-02-13
2022-03-31,15219,7076,8143,02-450-7625,서울특별시 광진구청,2024-02-13
2022-04-30,13878,6856,7022,02-450-7625,서울특별시 광진구청,2024-02-13
2022-05-31,14058,6849,7209,02-450-7625,서울특별시 광진구청,2024-02-13
2022-06-30,12607,5793,6814,02-450-7625,서울특별시 광진구청,2024-02-13
2022-07-31,13961,6382,7579,02-450-7625,서울특별시 광진구청,2024-02-13
2022-08-30,14607,6670,7937,02-450-7625,서울특별시 광진구청,2024-02-13
2022-09-30,14062,6684,7378,02-450-7625,서울특별시 광진구청,2024-02-13
2022-10-31,13325,6071,7254,02-450-7625,서울특별시 광진구청,2024-02-13
2022-11-30,12462,5690,6772,02-450-7625,서울특별시 광진구청,2024-02-13
2022-12-31,10967,4451,6516,02-450-7625,서울특별시 광진구청,2024-02-13
2023-01-31,12483,4916,7567,02-450-7625,서울특별시 광진구청,2024-02-13
2023-02-28,14511,6132,8379,02-450-7625,서울특별시 광진구청,2024-02-13
2023-03-31,17653,8393,9260,02-450-7625,서울특별시 광진구청,2024-02-13
2023-04-30,14271,6619,7652,02-450-7625,서울특별시 광진구청,2024-02-13
2023-05-31,17096,8222,8874,02-450-7625,서울특별시 광진구청,2024-02-13
2023-06-30,16234,7445,8789,02-450-7625,서울특별시 광진구청,2024-02-13
2023-07-31,15932,6898,9036,02-450-7625,서울특별시 광진구청,2024-02-13
2023-08-30,16280,6557,9723,02-450-7625,서울특별시 광진구청,2024-02-13
2023-09-30,14385,5626,8760,02-450-7625,서울특별시 광진구청,2024-02-13
2023-10-31,16961,6762,10199,02-450-7625,서울특별시 광진구청,2024-02-13
2023-11-30,14474,5377,9097,02-450-7625,서울특별시 광진구청,2024-02-13
2023-12-31,13502,4638,8864,02-450-7625,서울특별시 광진구청,2024-02-13
